,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 23_level_0
,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
111,112,Maria Hustad,no NOR,MF,Medkila,18.0,1998.0,21,20,1845,20.5,0,,0,0,0,1,0,0.0,,,0.0,,Matches
112,113,Celin Ildhusøy,no NOR,FW,Vålerenga,15.0,2001.0,6,0,105,1.2,0,,0,0,0,0,0,0.0,,,0.0,,Matches
113,114,Adriana Imeri,no NOR,MF,Vålerenga,16.0,2000.0,6,2,201,2.2,0,,0,0,0,0,0,0.0,,,0.0,,Matches
114,115,Krystina Iordanou,cy CYP,DF,Medkila,21.0,1995.0,2,2,180,2.0,1,,1,0,0,0,0,0.5,,,0.5,,Matches
115,116,Ingvild Isaksen,no NOR,"FW,MF",Stabæk,27.0,1989.0,9,8,744,8.3,0,,0,0,0,0,0,0.0,,,0.0,,Matches
116,117,Hedda Jakobsen,no NOR,FW,Medkila,16.0,2001.0,14,7,775,8.6,0,,0,0,0,0,0,0.0,,,0.0,,Matches
117,118,Marina Jensen,no NOR,FW,Sandviken,20.0,1996.0,21,16,1324,14.7,3,,3,0,0,0,0,0.2,,,0.2,,Matches
118,119,Sofie Jensen,no NOR,FW,Sandviken,22.0,1994.0,21,19,1574,17.5,6,,6,0,0,1,0,0.34,,,0.34,,Matches
119,120,Synne Jensen,no NOR,FW,Stabæk,20.0,1996.0,22,22,1839,20.4,4,,4,0,0,1,0,0.2,,,0.2,,Matches
120,121,Elisabeth Jeppesen,no NOR,FW,Røa,31.0,1985.0,2,0,17,0.2,0,,0,0,0,0,0,0.0,,,0.0,,Matches
121,122,Maren Johansen,no NOR,FW,Kolbotn,24.0,1992.0,17,9,862,9.6,1,,1,0,0,0,0,0.1,,,0.1,,Matches
122,123,Silje Johansen,no NOR,MF,Medkila,22.0,1994.0,16,14,1141,12.7,0,,0,0,0,0,0,0.0,,,0.0,,Matches
123,124,Fanny Johansson,no NOR,DF,Medkila,24.0,1992.0,11,11,990,11.0,0,,0,0,0,2,0,0.0,,,0.0,,Matches
124,125,Amalie Johnsen,no NOR,DF,Grand Bodø,19.0,1997.0,22,22,1943,21.6,0,,0,0,0,1,0,0.0,,,0.0,,Matches
125,126,Hanna Jønland,no NOR,MF,Avaldsnes,21.0,1995.0,1,0,12,0.1,0,,0,0,0,0,0,0.0,,,0.0,,Matches
126,127,Kristin Jørgensen,no NOR,FW,Trondheims-Ørn,,,15,1,235,2.6,0,,0,0,0,0,0,0.0,,,0.0,,Matches
127,128,Sofie Jørgensen,no NOR,FW,Sandviken,25.0,1991.0,2,2,138,1.5,1,,1,0,0,0,0,0.65,,,0.65,,Matches
128,129,Anna Jøsendal,no NOR,FW,Avaldsnes,15.0,2001.0,3,1,118,1.3,1,,1,0,0,0,0,0.76,,,0.76,,Matches
129,130,Lisa-Marie Karlseng Utland,no NOR,FW,Røa,24.0,1992.0,20,20,1766,19.6,17,,17,0,0,2,0,0.87,,,0.87,,Matches
130,131,Kristine Karstad,no NOR,DF,Arna-Bjørnar,15.0,2001.0,1,0,8,0.1,0,,0,0,0,0,0,0.0,,,0.0,,Matches
131,132,Juliette Kemppi,fi FIN,FW,Kolbotn,22.0,1994.0,22,21,1830,20.3,5,,5,0,0,0,0,0.25,,,0.25,,Matches
132,133,Mina Kjørum,no NOR,FW,Stabæk,23.0,1993.0,21,19,1644,18.3,1,,1,0,0,0,0,0.05,,,0.05,,Matches
133,134,Mariken Kleppe,no NOR,DF,Røa,19.0,1997.0,2,0,4,0.0,0,,0,0,0,0,0,0.0,,,0.0,,Matches
134,135,Julie Klæboe,no NOR,MF,Kolbotn,17.0,1999.0,10,10,776,8.6,1,,1,0,0,0,0,0.12,,,0.12,,Matches
135,136,Elida Knudsen,no NOR,DF,Sandviken,20.0,1996.0,8,1,164,1.8,1,,1,0,0,0,0,0.55,,,0.55,,Matches
